"TVS_MOTORS_DATE","CLOSE_PRICE","TWENTY_DAY_MA","FIFTY_DAY_MA"
06-MAY-16,300,317.0825,302.979
09-MAY-16,301,316.3025,303.25
10-MAY-16,298.2,315.4925,303.48
11-MAY-16,297.35,314.7025,303.821
12-MAY-16,295.75,313.7275,304.329
13-MAY-16,296.65,312.6275,304.91
16-MAY-16,295.85,311.08,305.536
17-MAY-16,294.15,309.1075,306.065
18-MAY-16,296.6,307.1425,306.323
19-MAY-16,295.9,305.7075,306.489
20-MAY-16,296.95,303.98,306.689
23-MAY-16,295.15,302.5825,306.828
24-MAY-16,294.35,300.8125,307.058
25-MAY-16,296.05,299.2175,307.287
26-MAY-16,298.55,298.21,307.588
27-MAY-16,291.95,296.8075,307.667
30-MAY-16,288.95,295.32,307.673
31-MAY-16,285.75,295.2125,307.669
01-JUN-16,288.6,295.15,307.763
02-JUN-16,296.6,295.2175,308.035
03-JUN-16,297.1,295.0725,308.241
06-JUN-16,295.45,294.795,308.048
07-JUN-16,294.55,294.6125,307.596
08-JUN-16,290.05,294.2475,307.211
09-JUN-16,290.4,293.98,306.733
10-JUN-16,287,293.4975,306.168
13-JUN-16,287.95,293.1025,305.497
14-JUN-16,290.75,292.9325,304.859
15-JUN-16,291.75,292.69,304.197
16-JUN-16,291.5,292.47,303.541
17-JUN-16,292.4,292.2425,303.098
20-JUN-16,292.9,292.13,302.624
21-JUN-16,296.15,292.22,302.259
22-JUN-16,294.9,292.1625,301.894
23-JUN-16,295.55,292.0125,301.5
24-JUN-16,297.2,292.275,301.071
27-JUN-16,296.95,292.675,300.474
28-JUN-16,297.1,293.2425,299.744
29-JUN-16,299.7,293.7975,299.02
30-JUN-16,309.7,294.4525,298.722
01-JUL-16,310.55,295.125,298.303
04-JUL-16,312.9,295.9975,298.099
05-JUL-16,306.5,296.595,297.634
07-JUL-16,299.8,297.0825,297.071
08-JUL-16,297.5,297.4375,296.647
11-JUL-16,298.95,298.035,296.226
12-JUL-16,304.7,298.8725,295.946
13-JUL-16,307.65,299.7175,296.341
